,AUT_NY.ADJ.NNTY.PC.CD,BGR_NY.ADJ.NNTY.PC.CD,BHR_NY.ADJ.NNTY.PC.CD,BRA_NY.ADJ.NNTY.PC.CD,BRN_NY.ADJ.NNTY.PC.CD,CAN_NY.ADJ.NNTY.PC.CD,CHE_NY.ADJ.NNTY.PC.CD,CHL_NY.ADJ.NNTY.PC.CD,COL_NY.ADJ.NNTY.PC.CD,CYP_NY.ADJ.NNTY.PC.CD,DNK_NY.ADJ.NNTY.PC.CD,ESP_NY.ADJ.NNTY.PC.CD,FIN_NY.ADJ.NNTY.PC.CD,GBR_NY.ADJ.NNTY.PC.CD,GRC_NY.ADJ.NNTY.PC.CD,IRL_NY.ADJ.NNTY.PC.CD,JAM_NY.ADJ.NNTY.PC.CD,JOR_NY.ADJ.NNTY.PC.CD,JPN_NY.ADJ.NNTY.PC.CD,KOR_NY.ADJ.NNTY.PC.CD,MUS_NY.ADJ.NNTY.PC.CD,NGA_NY.ADJ.NNTY.PC.CD,NLD_NY.ADJ.NNTY.PC.CD,NOR_NY.ADJ.NNTY.PC.CD,PAN_NY.ADJ.NNTY.PC.CD,POL_NY.ADJ.NNTY.PC.CD,PRT_NY.ADJ.NNTY.PC.CD,SAU_NY.ADJ.NNTY.PC.CD,SGP_NY.ADJ.NNTY.PC.CD,SWE_NY.ADJ.NNTY.PC.CD,USA_NY.ADJ.NNTY.PC.CD,ZMB_NY.ADJ.NNTY.PC.CD
1980,9175.135293700692,1895.4914954137291,1931.2493458572512,1623.607140798738,,8745.604821132707,,2109.197928819447,1116.084960046504,3762.48657226563,11625.307414470995,5364.958109309567,9262.690468606967,8807.363458651009,,5625.179910569063,934.5738308123169,1705.4825120225603,7869.365614871866,1533.7148958201017,1087.793186314031,599.0551129684242,11501.440095393222,12006.794748598963,1944.7453502404564,,2775.593809296754,9693.929730427126,4009.0614376686462,14680.603383412563,10117.118073558411,465.40415985904053
1981,7864.491314587043,1903.681002269445,3365.4484502675464,1762.827599624289,,9752.938458491377,,2490.882547509485,1182.5958767428126,3545.2119140625,9899.956182958202,4573.342471377445,8941.341299379288,8319.677751848078,,5302.527513430843,1065.6291398166761,1848.8254108504914,8531.670465424397,1671.647274783851,1061.3605638911758,1887.1873693590694,9497.464231400916,12048.287675421238,2136.5878472601357,,2647.3989478154795,11550.567096823523,4482.7449530520935,13275.500183253223,11452.057497582648,521.3598746339666
1982,7896.856164853264,1848.2614358538763,5517.150054373007,1820.2477331527766,,9873.077907017463,,1683.178184963203,1228.6944669386394,3620.51586914063,9623.632205019901,4378.822343217736,8947.928038683714,7969.242662703838,,5301.825263122067,1175.1729359604174,1873.9068571826906,7882.814807446759,1761.8785830434028,988.9647450017571,1625.5396666224394,9145.36123934774,11904.337991397731,2410.9419319150666,,2443.9347677500723,11111.864000437097,4876.335478857918,11593.428609099616,12043.706902865357,503.1891268698753
1983,8040.735666274077,1587.3589258424352,5864.206736147856,1259.1817190127424,,10706.57485071601,,1272.3082831444344,1167.9514964748007,3547.87377929688,9686.252199221439,3769.340901903421,8545.406761749187,7601.090534277744,,5012.11674681006,1311.9287789109953,1870.5304204256427,8564.064758282833,1940.4585282401983,998.1815359317943,1063.6104024157878,8836.197871512146,11483.139250846834,2546.746830338146,,2181.5218906738946,9439.342013335156,5486.684196816,10583.844633165001,12770.516486262619,384.92601167001794
1984,7571.9674991993315,1685.61249406093,5297.785298968362,1272.6558566060598,,11097.109824050389,,1185.6129441297235,1112.3883708246344,3690.63061523438,9426.978556670656,3773.072401315834,8840.9729395628,7145.860908446201,,4740.2346532535885,769.5458379437965,1758.8311359484685,9025.199744820582,2129.1368066103,943.9044882414838,769.0415949186571,8295.564670816519,11506.387736747649,2493.8923344031855,,1986.5441205829757,8197.474449564803,6157.1260659217905,11050.520770037683,14283.904766828453,298.85287586899005
1985,7740.789041420875,1638.1781418814053,3496.0205595920806,1105.8341362793217,,11332.258972115442,,968.8848034435937,979.1805295958093,3878.41479492188,9981.508270868791,3983.129150058155,9305.61811921639,7476.58920370747,,4943.8469696515795,645.6447874213644,1652.7779418106322,9518.30455558943,2160.85944659185,968.9567972889789,733.0908280372287,8111.386181104447,12237.215885790736,2670.6025976084643,,2149.06937919776,7281.832785793483,5975.0440495568455,11509.613443747701,15165.045482616046,231.34042205221186
1986,11018.27676093323,1933.192094894739,3300.1905358913896,1356.4478138315496,,11704.987163297112,,1064.2562560301799,968.4626629195142,4807.759765625,14186.014508754419,5586.68151843807,12247.004455638864,9409.889738615224,,6735.04970723617,901.9987250362823,2025.7478901233767,14023.725828232167,2461.9590989493195,1317.8789234885157,542.3143585940068,11317.881420821852,14973.045990107223,2583.524182834968,,3148.0417156170392,5926.197755854603,5659.443952927646,15273.82606029275,15855.901010614494,128.35362489286453
1987,13792.323979007699,2667.0560281916933,3239.77949330372,1454.9638753780193,,13252.829639080728,,1275.8660704766949,958.9766050812194,5708.23291015625,17586.312762310456,7101.9755434766585,15131.77449426085,11526.690504635906,,7958.2806131211455,1092.1502320967663,2010.280552977589,16977.224514504254,3106.471931484834,1717.2291293471656,486.763059893292,13835.52051187706,17521.8079165276,2836.294835764775,,3969.6477266007555,5514.320456168243,6065.892260045574,18595.27996153792,16750.110972074177,184.1786015710429
1988,14880.06436797592,2092.5208665327054,4133.123290927407,1599.4592698728247,,15354.49804778871,,1451.633622782647,1037.1813531518862,6525.63232421875,18362.947032983426,8351.247705303198,17981.033995683134,14080.336635694493,,8807.270512299581,1308.8415678333918,1742.6917310007707,20502.599690627438,4153.866634085327,1927.9052890515693,470.35550949924806,14596.239161648835,18515.22072691111,2277.466235433106,,4691.177933341368,5580.229353995765,7395.316082308543,20852.66061919834,18162.287251897633,311.3054196872555
1989,14792.558032793202,2031.3107475762458,3720.0478075624214,2150.3906823979078,8187.000600682685,16740.828939883337,,1637.8682909681895,986.0417506781276,6882.02099609375,17635.342793131833,9260.530222276848,19230.1983818239,14122.779272029935,,9050.672486048825,1516.2530892168081,1117.9197985054004,20145.074904844845,5105.182352637933,1967.7121849566045,352.7593724792532,14326.889931141195,17954.128981057896,2160.4958202540843,,5100.447928794762,5617.688633817405,8777.944901290082,21697.038439042954,19138.55689432657,325.3736254025343
1990,18400.430061269497,1831.426779878724,4726.906594941769,2137.153859131042,8828.05228123721,17207.343172986282,,1853.0890358049107,1171.8335414791325,8259.68359375,21548.46289874301,11991.830951845768,22301.994414852426,16398.08194420495,,11511.731737400703,1556.3029319958152,1048.2250398242163,20510.03618448574,5772.223755989784,2366.869873125508,413.57200787323376,17198.460273878223,20580.534891787804,2318.2177441787157,977.0743336975348,6718.214864653792,5959.889151832458,10038.869804407752,25680.582584909513,19905.26284124572,263.28200835035017
